"canonical_artist","spotify_release_id","spotify_title","spotify_normalized_title","spotify_release_type","spotify_version","spotify_date","spotify_track_count","apple_collection_id","apple_title","apple_normalized_title","apple_release_type","apple_version","apple_date","apple_track_count","date_difference_days","track_title_overlap","artist_credit_compatible","match_state","match_reason","risk_flags"
"2TD","3PLm5NmNz9EY2oYgO1CZn8","SIDEWINDA","sidewinda","ep","","2026-06-03","4","6769854291","SIDEWINDA - EP","sidewinda ep","ep","","2026-06-03","4","0","4","true","strong_probable_match","One normalized title contains the other.; Version markers are compatible.; Release dates differ by at most one day.; Track counts agree.","non-exact normalized title"
"2TD","4RFwGvkgQQjsZavUeTe0RL","FEELIN","feelin","single","","2026-06-30","1","6782146984","FEELIN - Single","feelin single","single","","2026-06-30","1","0","1","true","strong_probable_match","One normalized title contains the other.; Version markers are compatible.; Release dates differ by at most one day.; Track counts agree.","non-exact normalized title"
"ATTLAS","3rmKOiwDUXRn0WKRalvMpS","Elora","elora","single","","2026-06-12","1","6777702407","Elora - Single","elora single","single","","2026-06-12","1","0","1","true","strong_probable_match","One normalized title contains the other.; Version markers are compatible.; Release dates differ by at most one day.; Track counts agree.","non-exact normalized title; identity mapping target-window-assisted"
"ATTLAS","3RAvaqCakNV8P3i6VcFl1q","SWAN","swan","single","","2026-07-03","1","6783069627","SWAN - Single","swan single","single","","2026-07-03","1","0","1","true","strong_probable_match","One normalized title contains the other.; Version markers are compatible.; Release dates differ by at most one day.; Track counts agree.","non-exact normalized title; identity mapping target-window-assisted"
"ATTLAS","1VU4hIrwihD0svFdHMq2Gk","Twin Snakes","twin snakes","single","","2026-07-24","1","6784040013","Twin Snakes - Single","twin snakes single","single","","2026-07-24","1","0","1","true","strong_probable_match","One normalized title contains the other.; Version markers are compatible.; Release dates differ by at most one day.; Track counts agree.","non-exact normalized title; identity mapping target-window-assisted"
"Au5","45ROcG0eWDtvMmXfahTEFx","Inverse","inverse","ep","","2026-07-21","4","6790467989","Inverse - EP","inverse ep","ep","","2026-07-21","4","0","4","true","strong_probable_match","One normalized title contains the other.; Version markers are compatible.; Release dates differ by at most one day.; Track counts agree.","non-exact normalized title; incomplete or truncated Apple catalog"
"BARELY ALIVE","3Rdkwf6YgJ9BHZNhPYRUVL","POINT BLANK","point blank","single","","2026-06-12","1","6773968361","POINT BLANK - Single","point blank single","single","","2026-06-12","1","0","0","true","strong_probable_match","One normalized title contains the other.; Version markers are compatible.; Release dates differ by at most one day.; Track counts agree.","non-exact normalized title; incomplete or truncated Apple catalog"
"BARELY ALIVE","1PqEccFFuWMv0WSWCRwnup","NO BAD PARTS","no bad parts","feature","","2026-06-26","1","6781062758","NO BAD PARTS - Single","no bad parts single","single","","2026-06-26","1","0","0","false","strong_probable_match","One normalized title contains the other.; Version markers are compatible.; Release dates differ by at most one day.; Track counts agree.","non-exact normalized title; credited appearance; incomplete or truncated Apple catalog; collection-level artist-credit incompatibility"
"BARELY ALIVE","3hSbmouv9YXTm07H21Vg0g","100% NO AI","100 no ai","ep","","2026-07-17","7","6788142745","100% NO AI","100 no ai","album","","2026-04-15","7","93","6","true","invalid_match","Normalized titles are identical.; Version markers are compatible.; Release dates differ by more than 30 days without track-level proof.","date difference greater than one day; incomplete or truncated Apple catalog"
"BARELY ALIVE","3Qrc0SmG0aNycf7KXU8PBZ","LEAVE IT ALL BEHIND","leave it all behind","single","","2026-07-17","1","6790958176","LEAVE IT ALL BEHIND - Single","leave it all behind single","single","","2026-07-17","1","0","1","true","strong_probable_match","One normalized title contains the other.; Version markers are compatible.; Release dates differ by at most one day.; Track counts agree.","non-exact normalized title; incomplete or truncated Apple catalog"
